﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,26 - 30 คน,49409.29,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,31 - 50 คน,69294.01,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,51 - 200 คน,786737.62,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,มากกว่า 200 คน,1117230.91,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,รวม,1204321.53,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,1 - 15 คน,136328.05,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,16 - 25 คน,33169.71,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,26 - 30 คน,18419.12,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,31 - 50 คน,142563.01,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,51 - 200 คน,310853.29,พันบาท,สำนักงานสถิติแห่งชาติ
